entry_date,exit_date,direction,entry,exit,stop,target,bars_held,pnl_$,pnl_%_equity,exit_reason
2013-10-22,2013-11-19,long,3351.050048828125,3378.1298828125,3280.5379725864955,3492.074201311384,20,33.15651438536081,1.009562554401327,timeout
2013-12-02,2013-12-18,long,3481.31005859375,3440.7711181640625,3440.7711181640625,3562.387939453125,12,-108.06859269490509,-3.257627112723769,stop
2013-12-30,2014-01-06,long,3564.590087890625,3525.37247140067,3525.37247140067,3643.0253208705353,4,-105.03114512517918,-3.2726777203915716,stop
2014-01-08,2014-01-27,long,3552.300048828125,3486.7707083565847,3486.7707083565847,3683.3587297712056,12,-98.17753551178589,-3.162627917049046,stop
2014-02-20,2014-02-28,long,3643.7900390625,3707.230259486607,3612.0699288504466,3707.230259486607,6,170.0077999890566,5.655380449686028,target
2014-03-06,2014-03-13,long,3715.3798828125,3659.33309500558,3659.33309500558,3827.4734584263397,5,-101.60042130293874,-3.198872051094806,stop
2014-05-21,2014-06-04,long,3605.780029296875,3748.6749267578125,3534.3325805664062,3748.6749267578125,9,179.81701046248088,5.848597251824927,target
2014-06-12,2014-07-01,long,3782.1201171875,3873.5481828962056,3736.406084333147,3873.5481828962056,13,187.18356470426826,5.7517969944215475,target
2014-07-08,2014-07-14,long,3863.81005859375,3928.9417724609375,3831.2442016601562,3928.9417724609375,4,194.2422436943949,5.644061871320698,target
2014-07-15,2014-07-23,long,3890.77001953125,3985.2152273995534,3843.5474155970983,3985.2152273995534,6,209.15973040640066,5.752823667350706,target
2014-07-25,2014-07-31,long,3949.090087890625,3922.237051827567,3922.237051827567,4002.796160016741,4,-132.31148320421758,-3.4411892285047907,stop
2014-08-28,2014-09-08,long,4058.60009765625,4104.626063755581,4035.5871146065847,4104.626063755581,6,203.11450602607812,5.470916036104854,target
2014-11-04,2014-11-25,long,4143.2001953125,4285.314714704241,4072.1429356166295,4285.314714704241,15,228.09471662363512,5.825076274554677,target
2014-12-03,2014-12-08,long,4289.509765625,4267.493582589285,4267.493582589285,4333.542131696429,3,-148.53581078311868,-3.5845031936734744,stop
2015-01-26,2015-01-27,long,4258.47998046875,4174.449768066406,4174.449768066406,4426.5404052734375,1,-125.93310777038367,-3.1520338884809243,stop
2015-02-24,2015-03-06,long,4430.8701171875,4396.463954380581,4396.463954380581,4499.682442801339,8,-131.02995908475486,-3.386343877582571,stop
2015-03-10,2015-03-20,long,4351.02001953125,4477.315638950893,4287.872209821428,4477.315638950893,8,216.5726443411651,5.793293542268916,target
2015-04-22,2015-04-27,long,4430.97998046875,4557.348423549107,4367.795758928572,4557.348423549107,3,228.9738958435381,5.789616147554286,target
2015-04-27,2015-04-30,long,4517.8798828125,4443.882672991072,4443.882672991072,4665.874302455357,3,-133.17977765622726,-3.183164198773783,stop
2015-05-27,2015-06-08,long,4482.5498046875,4437.1307373046875,4437.1307373046875,4573.387939453125,8,-133.5143025045464,-3.296079382271759,stop
2015-06-25,2015-06-29,long,4511.2099609375,4460.104963030134,4460.104963030134,4613.419956752232,2,-127.88908023818048,-3.2648200848641826,stop
2015-07-23,2015-07-27,long,4624.68017578125,4518.1865234375,4518.1865234375,4837.66748046875,2,-118.61562526631016,-3.1302804460359748,stop
2015-07-27,2015-07-31,long,4517.39990234375,4616.308663504464,4467.945521763393,4616.308663504464,4,210.18195822566543,5.725965636451341,target
2015-08-07,2015-08-20,long,4500.66015625,4406.916974748884,4406.916974748884,4688.146519252232,9,-122.01557180384128,-3.1440316005126117,stop
