swing_n,rr,risk,min_fvg_pct,allow_short,cagr,max_dd,sharpe,win_rate,profit_factor,n_trades,final
3,2.0,0.01,0.001,False,0.05724385532792531,-0.09207128304354606,1.0304468324432556,0.5126353790613718,1.753705860548484,277,3039.0365875691446
5,2.0,0.01,0.001,False,0.05707307125567418,-0.09566925070507915,1.0196409611622346,0.5124555160142349,1.784372626656924,281,3029.2488347326457
3,3.0,0.01,0.0015,True,0.05691783816499574,-0.1616885590306797,0.7548704572983727,0.384180790960452,1.5754331866739066,354,3020.378304540425
2,2.0,0.01,0.0015,False,0.05679136254844086,-0.0697199168257675,1.0689539644388362,0.5190839694656488,1.8280696907939509,262,3013.1693182789604
5,3.0,0.01,0.001,False,0.056030806804803435,-0.1231726992369484,0.8696128588740745,0.4344262295081967,1.7999576561215174,244,2970.1618598815353
3,2.0,0.01,0.0015,False,0.055876338179837726,-0.09207128304354606,1.028164543088994,0.5130111524163569,1.7727417318971577,269,2961.498596308842
2,3.0,0.01,0.0015,False,0.05566863684531964,-0.11176580613828935,0.9139245127752309,0.45,1.9292595234443102,220,2949.8876445200476
5,2.0,0.01,0.0015,False,0.05511209605238099,-0.09566925070507892,1.0051287775241935,0.5109489051094891,1.7853551121202578,274,2918.9886090795453
3,3.0,0.01,0.001,False,0.05451201041842246,-0.11877145342421824,0.8578235185291949,0.4309623430962343,1.768209517900806,239,2886.0165406330552
5,3.0,0.01,0.0015,False,0.054112298476331366,-0.12317269923694851,0.8544702594127132,0.4345991561181435,1.8145828706449585,237,2864.250773826819
3,1.5,0.01,0.001,False,0.05398211758839766,-0.10112291796886563,1.0681897532185753,0.5785953177257525,1.715639836499907,299,2857.1956785795483
2,3.0,0.01,0.001,False,0.053625383719958286,-0.12259822712196844,0.8611206704322208,0.4391304347826087,1.8158162647497955,230,2837.9471440866296
2,3.0,0.01,0.0015,True,0.05353589533821301,-0.22319768628270276,0.7222329979362971,0.38372093023255816,1.5596154133523863,344,2833.1379198528066
3,3.0,0.01,0.001,True,0.053332735013697175,-0.1616885590306797,0.7014101665795374,0.3774104683195592,1.5063818329465448,363,2822.2485365592984
5,1.5,0.01,0.001,False,0.05332323934536598,-0.0941117122389129,1.0383987714150904,0.5751633986928104,1.7307639270778112,306,2821.7405430386975
2,1.5,0.01,0.001,False,0.05301512210396875,-0.07183152829590544,1.0680784694447376,0.5782312925170068,1.741666868371231,294,2805.3041284954934
2,3.0,0.01,0.001,True,0.05294484677425171,-0.21071820511807526,0.7026164240022693,0.38028169014084506,1.5145242107438852,355,2801.568071741228
3,1.5,0.01,0.0015,False,0.05219782414287044,-0.10112291796886574,1.0537295798707618,0.578397212543554,1.736457522263208,287,2762.14506034055
2,1.5,0.01,0.0015,False,0.051824829080086676,-0.071831528295905,1.0682211581997547,0.5800711743772242,1.7737625312383825,281,2742.6586076152685
2,2.0,0.01,0.001,True,0.05137150770083432,-0.09672723322420262,0.7788366511410267,0.44878048780487806,1.4367813346750755,410,2719.1514351712194
5,1.5,0.01,0.0015,False,0.05094872495956282,-0.09411171223891213,1.0102490487885791,0.5728813559322034,1.7327453358841438,295,2697.4004440754607
5,2.0,0.01,0.001,True,0.05094121230444304,-0.10365706937219121,0.767237509057463,0.44902912621359226,1.464464150790546,412,2697.015437632364
2,2.0,0.01,0.0015,True,0.05087983577868527,-0.11303849885813366,0.7869280523017412,0.44974874371859297,1.4509806791594433,398,2693.8719853674975
5,3.0,0.01,0.001,True,0.050477003704316514,-0.21558963356519012,0.6723404650031428,0.37777777777777777,1.5044394732509732,360,2673.32680814541
3,2.0,0.01,0.001,True,0.05022128974432172,-0.09672723322420251,0.7551382523255353,0.44630071599045346,1.4148926596097466,419,2660.362250967683
3,2.0,0.01,0.0015,True,0.050105126819824486,-0.11303849885813388,0.7659202371352217,0.4474327628361858,1.4304641487685699,409,2654.4926028445348
5,2.0,0.01,0.0015,True,0.0495892898909156,-0.12159114176211494,0.7582101338620875,0.44801980198019803,1.465161610067532,404,2628.5759328905683
2,3.0,0.01,0.003,False,0.04859404070592954,-0.12308163193956068,0.8790065791712376,0.45,1.887106374050617,200,2579.2503726858654
5,3.0,0.01,0.0015,True,0.048568585060193126,-0.22689871710799592,0.6555012940098324,0.37677053824362605,1.504034172501064,353,2578.0003717467016
2,1.5,0.01,0.0015,True,0.04781492323427505,-0.11708293637089984,0.7972763460488512,0.5175644028103045,1.4343175106830333,427,2541.2514225805567
2,1.5,0.01,0.001,True,0.04775966399734943,-0.12721372575668444,0.7829602662285124,0.5158371040723982,1.4133065587088147,442,2538.576625604197
